baseline,model,decision_type,metric,old,new,delta
dataset_median_same_scenarios,qwen,Overall,tau_gain_AH_minus_DM,0.2391400123358886,0.2391400123358885,-1.1102230246251565e-16
dataset_median_same_scenarios,qwen,HVAC,kendall_tau,0.93487922705314,0.93487922705314,0.0
dataset_median_same_scenarios,qwen,HVAC,top1,0.959792960662526,0.959792960662526,0.0
dataset_median_same_scenarios,qwen,HVAC,tau_gain_AH_minus_DM,-0.0535817805383022,-0.0535817805383022,0.0
dataset_median_same_scenarios,qwen,Appliance,kendall_tau,0.1794871794871795,0.1897435897435897,0.01025641025641022
dataset_median_same_scenarios,qwen,Appliance,top1,0.4923076923076923,0.4923076923076923,0.0
dataset_median_same_scenarios,qwen,Appliance,tau_gain_AH_minus_DM,0.7261538461538463,0.715897435897436,-0.01025641025641022
dataset_median_same_scenarios,qwen,Shower,kendall_tau,0.8000000000000002,0.788888888888889,-0.011111111111111183
dataset_median_same_scenarios,qwen,Shower,top1,0.85,0.8166666666666667,-0.033333333333333326
dataset_median_same_scenarios,qwen,Shower,tau_gain_AH_minus_DM,0.0511111111111109,0.0622222222222221,0.011111111111111203
fixed_default_same_scenarios,deepseek,Overall,kendall_tau,0.6132769406996211,0.6269662525332629,0.013689311833641749
fixed_default_same_scenarios,deepseek,Overall,top1,0.7022574676182923,0.707390959555908,0.005133491937615697
fixed_default_same_scenarios,deepseek,Overall,tau_gain_AH_minus_FD,0.2840461714688518,0.27035685963521,-0.013689311833641804
fixed_default_same_scenarios,deepseek,HVAC,kendall_tau,0.9331400966183574,0.9331400966183574,0.0
fixed_default_same_scenarios,deepseek,HVAC,top1,0.9570186335403728,0.9570186335403728,0.0
fixed_default_same_scenarios,deepseek,HVAC,tau_gain_AH_minus_FD,-0.0133885438233264,-0.0133885438233264,0.0
fixed_default_same_scenarios,deepseek,Appliance,kendall_tau,0.0974358974358974,0.1384615384615385,0.0410256410256411
fixed_default_same_scenarios,deepseek,Appliance,top1,0.2923076923076923,0.3076923076923077,0.015384615384615385
fixed_default_same_scenarios,deepseek,Appliance,tau_gain_AH_minus_FD,0.877948717948718,0.836923076923077,-0.04102564102564099
fixed_default_same_scenarios,deepseek,Shower,kendall_tau,0.8000000000000002,0.8000000000000002,0.0
fixed_default_same_scenarios,deepseek,Shower,top1,0.85,0.85,0.0
fixed_default_same_scenarios,deepseek,Shower,tau_gain_AH_minus_FD,-0.0133333333333335,-0.0133333333333335,0.0
fixed_default_same_scenarios,gemini,Overall,kendall_tau,0.6136752136752137,0.6273504273504275,0.013675213675213738
fixed_default_same_scenarios,gemini,Overall,top1,0.7025641025641025,0.7076923076923077,0.005128205128205221
