architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Example-Guided_LLM_Scoring,2,HVAC,0.019,0.0071,0.3,0.6857,0.1512,0.2122,1.4034,0.1667,0.1661,0.1646,0.1073,0.2261,0.2249,0.231,0.1583,70,0,0,deepseek
Example-Guided_LLM_Scoring,2,Appliance,0.4154,0.4846,0.7538,0.9385,0.2093,0.2824,1.3493,0.2177,0.1943,0.2292,0.1962,0.2924,0.2757,0.2935,0.2671,65,0,0,deepseek
Example-Guided_LLM_Scoring,2,Shower,0.5556,0.5917,0.6,0.9,0.1348,0.2001,1.4844,0.139,0.133,0.1187,0.1486,0.2037,0.2039,0.1863,0.2059,60,0,0,deepseek
Example-Guided_LLM_Scoring,3,Overall,0.2855,0.3128,0.5077,0.8103,0.1675,0.2364,1.4113,0.1748,0.164,0.1759,0.1555,0.2432,0.2346,0.2479,0.2188,195,0,195,deepseek
Example-Guided_LLM_Scoring,3,HVAC,0.0095,0.0071,0.2857,0.7,0.1556,0.2169,1.394,0.1725,0.1693,0.1734,0.1071,0.2325,0.2281,0.2408,0.1556,70,0,0,deepseek
Example-Guided_LLM_Scoring,3,Appliance,0.3231,0.3769,0.6308,0.8615,0.209,0.2834,1.356,0.2163,0.1915,0.225,0.2033,0.2931,0.276,0.2917,0.272,65,0,0,deepseek
Example-Guided_LLM_Scoring,3,Shower,0.5667,0.6,0.6333,0.8833,0.1366,0.1993,1.459,0.1326,0.1281,0.1256,0.1601,0.1902,0.1888,0.1996,0.2174,60,0,0,deepseek
Example-Guided_LLM_Scoring,4,Overall,0.3573,0.3769,0.5487,0.8154,0.1638,0.233,1.4225,0.171,0.1615,0.1716,0.1512,0.2408,0.2337,0.2431,0.2133,195,0,195,deepseek
Example-Guided_LLM_Scoring,4,HVAC,0.0762,0.0643,0.3714,0.6429,0.1553,0.2199,1.416,0.1746,0.1713,0.1652,0.11,0.2397,0.2342,0.2338,0.1629,70,0,0,deepseek
Example-Guided_LLM_Scoring,4,Appliance,0.4462,0.4846,0.6615,0.8923,0.2048,0.2805,1.3696,0.2055,0.1896,0.2297,0.1942,0.285,0.2778,0.296,0.2622,65,0,0,deepseek
Example-Guided_LLM_Scoring,4,Shower,0.5889,0.625,0.6333,0.9333,0.1295,0.1865,1.4402,0.1294,0.1195,0.1162,0.1528,0.1828,0.1729,0.1825,0.206,60,0,0,deepseek
Example-Guided_LLM_Scoring,5,Overall,0.3504,0.3769,0.5538,0.8205,0.1691,0.237,1.4015,0.177,0.1672,0.1779,0.1541,0.2417,0.2366,0.2495,0.219,195,0,195,deepseek
Example-Guided_LLM_Scoring,5,HVAC,0.0952,0.1,0.3286,0.6714,0.1589,0.2204,1.387,0.1783,0.1757,0.172,0.1095,0.2356,0.2323,0.2422,0.162,70,0,0,deepseek
