architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Example-Guided_LLM_Scoring,3,Overall,0.2581,0.2769,0.5026,0.7692,0.1648,0.2365,1.4351,0.1679,0.1596,0.1513,0.1806,0.2402,0.237,0.213,0.254,195,0,195,gptoss
Example-Guided_LLM_Scoring,3,HVAC,0.2952,0.3286,0.5143,0.7714,0.1569,0.2217,1.413,0.1877,0.1871,0.1392,0.1134,0.2589,0.2598,0.1903,0.1608,70,0,0,gptoss
Example-Guided_LLM_Scoring,3,Appliance,-0.1077,-0.1385,0.3077,0.6,0.2152,0.2925,1.3592,0.1954,0.1761,0.2071,0.2821,0.2733,0.2726,0.2629,0.3525,65,0,0,gptoss
Example-Guided_LLM_Scoring,3,Shower,0.6111,0.6667,0.7,0.95,0.1196,0.1781,1.4891,0.1149,0.1094,0.1051,0.1491,0.1685,0.1524,0.1741,0.2119,60,0,0,gptoss
Example-Guided_LLM_Scoring,4,Overall,0.2376,0.2615,0.4667,0.7333,0.1709,0.2458,1.4383,0.1752,0.1655,0.1551,0.1878,0.255,0.2481,0.2165,0.2613,195,0,195,gptoss
Example-Guided_LLM_Scoring,4,HVAC,0.2571,0.3071,0.4857,0.7714,0.167,0.2381,1.4257,0.2072,0.2027,0.1414,0.1167,0.2917,0.2853,0.188,0.1579,70,0,0,gptoss
Example-Guided_LLM_Scoring,4,Appliance,-0.1385,-0.1692,0.2615,0.4923,0.2183,0.2992,1.3706,0.1927,0.1773,0.2168,0.2864,0.2784,0.2742,0.2766,0.3591,65,0,0,gptoss
Example-Guided_LLM_Scoring,4,Shower,0.6222,0.675,0.6667,0.95,0.1242,0.1824,1.4686,0.1188,0.1094,0.1044,0.164,0.1676,0.1536,0.168,0.2306,60,0,0,gptoss
Example-Guided_LLM_Scoring,5,Overall,0.3436,0.3667,0.5179,0.7949,0.1673,0.2414,1.4429,0.1715,0.1694,0.1516,0.1768,0.2496,0.2552,0.2104,0.248,195,0,195,gptoss
Example-Guided_LLM_Scoring,5,HVAC,0.3333,0.3714,0.4714,0.8143,0.1687,0.2425,1.4375,0.2085,0.2071,0.148,0.1111,0.2929,0.2896,0.2012,0.1586,70,0,0,gptoss
Example-Guided_LLM_Scoring,5,Appliance,0.0462,0.0231,0.3385,0.6154,0.2084,0.287,1.3772,0.1844,0.1843,0.1925,0.2726,0.2646,0.288,0.2459,0.3408,65,0,0,gptoss
Example-Guided_LLM_Scoring,5,Shower,0.6778,0.7333,0.7667,0.9667,0.1212,0.1777,1.4662,0.1142,0.1094,0.1115,0.1497,0.163,0.1545,0.1766,0.2113,60,0,0,gptoss
LLM-Parameterized_Reference_Scoring,1,Overall,0.9059,0.9147,0.9294,0.9706,0.0516,0.0995,1.9283,0.0786,0.0952,0.0132,0.0196,0.1224,0.139,0.041,0.0599,170,25,195,gptoss
LLM-Parameterized_Reference_Scoring,1,HVAC,0.9704,0.9778,0.9778,1.0,0.0483,0.0944,1.9545,0.0818,0.0802,0.0,0.0313,0.1321,0.1291,0.0,0.0397,45,0,0,gptoss
LLM-Parameterized_Reference_Scoring,1,Appliance,0.9795,0.9846,1.0,1.0,0.0493,0.0966,1.9594,0.0759,0.1215,0.0,0.0,0.1098,0.1589,0.0,0.0,65,0,0,gptoss
LLM-Parameterized_Reference_Scoring,1,Shower,0.7778,0.7917,0.8167,0.9167,0.0566,0.106,1.8728,0.0791,0.0778,0.0374,0.0322,0.1277,0.1221,0.069,0.0948,60,0,0,gptoss
