model,policy,tau,top1,n_scored_mean
deepseek,first_other_success,0.8974358974358975,0.9076923076923077,195.0
deepseek,all_success_mean,0.8974358974358975,0.9076923076923077,195.0
gemini,first_other_success,0.9234188034188033,0.9312820512820513,195.0
gemini,all_success_mean,0.9234188034188033,0.9312820512820513,195.0
gptoss,first_other_success,0.90446735395189,0.9195876288659794,194.0
gptoss,all_success_mean,0.9038373424971363,0.9193298969072166,194.0
qwen,first_other_success,0.8782905982905982,0.8964102564102564,195.0
qwen,all_success_mean,0.8793162393162393,0.8964102564102564,195.0
