model,run,decision_type,parameter,n_scored,n_error,n_flip,p_change_given_error,error_rate,median_abs_rel_error,mae
gptoss,3,HVAC,seer,49,43,1,0.023255813953488372,0.8775510204081632,0.13333333333333333,1.989795918367347
gptoss,3,Shower,gpm,60,34,11,0.3235294117647059,0.5666666666666667,0.25,0.43166666666666664
gptoss,3,Shower,tank_size,60,40,0,0.0,0.6666666666666666,0.25,9.5
gptoss,3,Shower,water_heater_temp,60,19,1,0.05263157894736842,0.31666666666666665,0.1111111111111111,4.25
gptoss,4,Appliance,appliance,65,0,0,,0.0,,
gptoss,4,Appliance,baseline_time,65,0,0,,0.0,,
gptoss,4,Appliance,kwh_per_cycle,65,59,1,0.01694915254237288,0.9076923076923077,0.4285714285714285,0.44476923076923075
gptoss,4,HVAC,hvac_age,50,47,0,0.0,0.94,0.4444444444444444,8.1
gptoss,4,HVAC,occupancy_context,50,11,0,0.0,0.22,,
gptoss,4,HVAC,r_value,50,49,2,0.04081632653061224,0.98,0.3,4.67
gptoss,4,HVAC,seer,50,41,4,0.0975609756097561,0.82,0.18181818181818182,2.28
gptoss,4,Shower,gpm,60,38,8,0.21052631578947367,0.6333333333333333,0.25,0.5016666666666667
gptoss,4,Shower,tank_size,60,38,0,0.0,0.6333333333333333,0.25,8.5
gptoss,4,Shower,water_heater_temp,60,21,1,0.047619047619047616,0.35,0.14285714285714285,5.083333333333333
gptoss,5,Appliance,appliance,65,0,0,,0.0,,
gptoss,5,Appliance,baseline_time,65,0,0,,0.0,,
gptoss,5,Appliance,kwh_per_cycle,65,58,1,0.017241379310344827,0.8923076923076924,0.42857142857142855,0.42169230769230764
gptoss,5,HVAC,hvac_age,45,43,0,0.0,0.9555555555555556,0.5,9.955555555555556
gptoss,5,HVAC,occupancy_context,45,12,0,0.0,0.26666666666666666,,
gptoss,5,HVAC,r_value,45,44,1,0.022727272727272728,0.9777777777777777,0.25,4.311111111111111
gptoss,5,HVAC,seer,45,36,2,0.05555555555555555,0.8,0.18181818181818182,2.3200000000000003
gptoss,5,Shower,gpm,60,38,10,0.2631578947368421,0.6333333333333333,0.25,0.4666666666666667
gptoss,5,Shower,tank_size,60,38,0,0.0,0.6333333333333333,0.25,8.166666666666666
gptoss,5,Shower,water_heater_temp,60,21,1,0.047619047619047616,0.35,0.1111111111111111,4.916666666666667
qwen,1,Appliance,appliance,65,0,0,,0.0,,
qwen,1,Appliance,baseline_time,65,0,0,,0.0,,
qwen,1,Appliance,kwh_per_cycle,65,58,4,0.06896551724137931,0.8923076923076924,0.5789473684210527,1.0216923076923077
qwen,1,HVAC,hvac_age,69,64,0,0.0,0.927536231884058,0.3090909090909091,6.144927536231884
qwen,1,HVAC,occupancy_context,69,15,1,0.06666666666666667,0.21739130434782608,,
qwen,1,HVAC,r_value,69,67,5,0.07462686567164178,0.9710144927536232,0.2,4.057971014492754
qwen,1,HVAC,seer,69,51,1,0.0196078431372549,0.7391304347826086,0.13333333333333333,1.6521739130434783
qwen,1,Shower,gpm,60,20,5,0.25,0.3333333333333333,0.30952380952380953,0.2833333333333333
qwen,1,Shower,tank_size,60,36,1,0.027777777777777776,0.6,0.2,8.666666666666666
qwen,1,Shower,water_heater_temp,60,20,1,0.05,0.3333333333333333,0.1111111111111111,4.583333333333333
qwen,2,Appliance,appliance,65,0,0,,0.0,,
qwen,2,Appliance,baseline_time,65,1,0,0.0,0.015384615384615385,,
qwen,2,Appliance,kwh_per_cycle,65,58,5,0.08620689655172414,0.8923076923076924,0.5789473684210527,1.0493846153846156
qwen,2,HVAC,hvac_age,70,65,0,0.0,0.9285714285714286,0.2857142857142857,6.585714285714285
qwen,2,HVAC,occupancy_context,70,14,1,0.07142857142857142,0.2,,
qwen,2,HVAC,r_value,70,69,8,0.11594202898550725,0.9857142857142858,0.23529411764705882,4.521428571428571
qwen,2,HVAC,seer,70,54,2,0.037037037037037035,0.7714285714285715,0.11805555555555555,1.6
qwen,2,Shower,gpm,60,20,4,0.2,0.3333333333333333,0.2857142857142857,0.27166666666666667
qwen,2,Shower,tank_size,60,36,1,0.027777777777777776,0.6,0.2,9.166666666666666
qwen,2,Shower,water_heater_temp,60,20,1,0.05,0.3333333333333333,0.1111111111111111,4.583333333333333
qwen,3,Appliance,appliance,65,0,0,,0.0,,
qwen,3,Appliance,baseline_time,65,0,0,,0.0,,
qwen,3,Appliance,kwh_per_cycle,65,57,4,0.07017543859649122,0.8769230769230769,0.5789473684210527,1.0216923076923077
qwen,3,HVAC,hvac_age,70,64,0,0.0,0.9142857142857143,0.2792207792207792,6.5
qwen,3,HVAC,occupancy_context,70,15,1,0.06666666666666667,0.21428571428571427,,
qwen,3,HVAC,r_value,70,70,6,0.08571428571428572,1.0,0.2113095238095238,4.421428571428572
qwen,3,HVAC,seer,70,56,2,0.03571428571428571,0.8,0.1111111111111111,1.6285714285714286
qwen,3,Shower,gpm,60,25,8,0.32,0.4166666666666667,0.2857142857142857,0.32166666666666666
qwen,3,Shower,tank_size,60,35,1,0.02857142857142857,0.5833333333333334,0.2,8.5
qwen,3,Shower,water_heater_temp,60,20,1,0.05,0.3333333333333333,0.1111111111111111,4.583333333333333
qwen,4,Appliance,appliance,65,0,0,,0.0,,
qwen,4,Appliance,baseline_time,65,0,0,,0.0,,
qwen,4,Appliance,kwh_per_cycle,65,58,6,0.10344827586206896,0.8923076923076924,0.5789473684210527,1.0047692307692309
qwen,4,HVAC,hvac_age,69,63,0,0.0,0.9130434782608695,0.3,6.36231884057971
qwen,4,HVAC,occupancy_context,69,15,0,0.0,0.21739130434782608,,
qwen,4,HVAC,r_value,69,68,7,0.10294117647058823,0.9855072463768116,0.26666666666666666,4.949275362318841
