baseline,scenario_id,decision_type,failed,kendall_tau,top1,mae
FD,94,Appliance,False,0.33333333333333337,0.0,0.14333333333333337
FD,95,Appliance,False,-0.33333333333333337,0.0,0.285
FD,96,Appliance,False,1.0,1.0,0.04916666666666663
FD,97,Appliance,False,0.33333333333333337,0.0,0.2875
FD,98,Appliance,False,-0.33333333333333337,0.0,0.3491666666666667
FD,99,Appliance,False,0.33333333333333337,0.0,0.10333333333333333
FD,100,Appliance,False,1.0,1.0,0.08249999999999998
FD,101,Appliance,False,-0.33333333333333337,0.0,0.27499999999999997
FD,102,Appliance,False,0.33333333333333337,0.0,0.17333333333333334
FD,103,Appliance,False,1.0,1.0,0.01833333333333335
FD,104,Appliance,False,1.0,1.0,0.035833333333333335
FD,105,Appliance,False,-1.0,0.0,0.22833333333333336
FD,106,Appliance,False,-1.0,0.0,0.1775
FD,107,Appliance,False,0.33333333333333337,0.0,0.1441666666666667
FD,108,Appliance,False,-1.0,0.0,0.18500000000000003
FD,109,Appliance,False,-1.0,0.0,0.21583333333333332
FD,110,Appliance,False,-0.33333333333333337,0.0,0.28500000000000003
FD,111,Appliance,False,0.33333333333333337,0.0,0.18833333333333335
FD,112,Appliance,False,-0.33333333333333337,0.0,0.25666666666666665
FD,113,Appliance,False,-0.33333333333333337,0.0,0.16499999999999995
FD,114,Appliance,False,0.33333333333333337,0.0,0.1483333333333333
FD,115,Appliance,False,1.0,1.0,0.005833333333333339
FD,116,Appliance,False,0.33333333333333337,1.0,0.1558333333333333
FD,117,Appliance,False,0.33333333333333337,0.0,0.22249999999999995
FD,118,Appliance,False,-0.33333333333333337,0.0,0.11916666666666666
FD,119,Appliance,False,-1.0,0.0,0.12166666666666665
FD,120,Appliance,False,-0.33333333333333337,0.0,0.22750000000000004
FD,121,Appliance,False,-1.0,0.0,0.2633333333333334
FD,122,Appliance,False,0.33333333333333337,0.0,0.26500000000000007
FD,123,Appliance,False,1.0,1.0,0.04666666666666668
FD,124,Appliance,False,0.33333333333333337,1.0,0.15999999999999998
FD,125,Appliance,False,1.0,1.0,0.07083333333333336
FD,126,Appliance,False,0.33333333333333337,0.0,0.1475
FD,127,Appliance,False,1.0,1.0,0.04416666666666665
FD,128,Appliance,False,0.33333333333333337,0.0,0.2191666666666667
FD,129,Appliance,False,-1.0,0.0,0.2025
FD,130,Appliance,False,0.33333333333333337,0.0,0.11666666666666664
FD,131,Appliance,False,1.0,1.0,0.10083333333333333
FD,132,Appliance,False,0.33333333333333337,0.0,0.15166666666666664
FD,133,Appliance,False,0.33333333333333337,0.0,0.11749999999999998
FD,134,Appliance,False,1.0,1.0,0.06916666666666667
FD,135,Appliance,False,-1.0,0.0,0.14166666666666666
FD,136,Shower,False,-1.0,0.0,0.12
FD,137,Shower,False,0.33333333333333337,1.0,0.1425
FD,138,Shower,False,0.33333333333333337,0.0,0.11833333333333333
FD,139,Shower,False,1.0,1.0,0.023333333333333334
FD,140,Shower,False,0.33333333333333337,0.0,0.13416666666666668
FD,141,Shower,False,1.0,1.0,0.029166666666666664
FD,142,Shower,False,-0.33333333333333337,0.0,0.1025
FD,143,Shower,False,0.33333333333333337,0.0,0.10916666666666668
FD,144,Shower,False,1.0,1.0,0.016666666666666666
FD,145,Shower,False,1.0,1.0,0.09166666666666667
FD,146,Shower,False,1.0,1.0,0.09833333333333333
FD,147,Shower,False,1.0,1.0,0.029166666666666664
FD,148,Shower,False,1.0,1.0,0.0
FD,149,Shower,False,1.0,1.0,0.09083333333333334
FD,150,Shower,False,1.0,1.0,0.1366666666666667
FD,151,Shower,False,1.0,1.0,0.0675
FD,152,Shower,False,1.0,1.0,0.049166666666666664
FD,153,Shower,False,1.0,1.0,0.13333333333333333
FD,154,Shower,False,0.33333333333333337,1.0,0.08666666666666667
FD,155,Shower,False,1.0,1.0,0.050833333333333335
FD,156,Shower,False,1.0,1.0,0.0625
FD,157,Shower,False,1.0,1.0,0.07083333333333333
FD,158,Shower,False,1.0,1.0,0.12000000000000001
FD,159,Shower,False,1.0,1.0,0.13416666666666668
FD,160,Shower,False,1.0,1.0,0.13249999999999998
FD,161,Shower,False,1.0,1.0,0.05416666666666666
FD,162,Shower,False,1.0,1.0,0.023333333333333334
FD,163,Shower,False,1.0,1.0,0.0575
FD,164,Shower,False,1.0,1.0,0.0
FD,165,Shower,False,1.0,1.0,0.06083333333333333
FD,166,Shower,False,0.33333333333333337,0.0,0.09500000000000001
FD,167,Shower,False,1.0,1.0,0.041666666666666664
FD,168,Shower,False,0.33333333333333337,0.0,0.09250000000000001
FD,169,Shower,False,1.0,1.0,0.024999999999999998
FD,170,Shower,False,1.0,1.0,0.0
FD,171,Shower,False,1.0,1.0,0.0
FD,172,Shower,False,1.0,1.0,0.06416666666666666
FD,173,Shower,False,1.0,1.0,0.0
FD,174,Shower,False,1.0,1.0,0.06333333333333334
FD,175,Shower,False,1.0,1.0,0.0
FD,176,Shower,False,1.0,1.0,0.0
FD,177,Shower,False,1.0,1.0,0.06
FD,178,Shower,False,1.0,1.0,0.0
