decision_type,parameter,n,share_flippable_within_0p5_2x,share_flip_within_10pct,share_flip_within_20pct,share_flip_within_33pct,median_log_flip_distance
Appliance,kwh_per_cycle,65,0.1076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.4054651081081644
HVAC,hvac_age,70,0.0,0.0,0.0,0.0,
HVAC,r_value,70,0.32857142857142857,0.02857142857142857,0.05714285714285714,0.11428571428571428,0.4155154439616658
HVAC,seer,70,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.3364722366212129
Shower,gpm,60,0.8333333333333334,0.2,0.31666666666666665,0.4666666666666667,0.22311155029016605
Shower,tank_size,60,0.2,0.03333333333333333,0.08333333333333333,0.1,0.26841371315249574
Shower,water_heater_temp,60,0.45,0.08333333333333333,0.25,0.2833333333333333,0.16251892949777494
