model,arch,run,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret
deepseek,A_D,4,Shower,59,0.028677966101694922,0.25664271799017924,0.559322033898305,0.559322033898305,26,0.06507692307692309,0.0,0.30899999999999983,0.08551412429378531
deepseek,A_D,5,Overall,195,0.04966410256410258,0.4531222131409137,0.3384615384615385,0.3384615384615385,129,0.07507364341085272,0.0,0.591,0.06951794871794871
deepseek,A_D,5,HVAC,70,0.04795000000000002,0.6162790484554908,0.14285714285714285,0.14285714285714285,60,0.05594166666666669,0.0,0.169,0.037216666666666676
deepseek,A_D,5,Appliance,65,0.07131538461538463,0.47212962988717533,0.3230769230769231,0.3230769230769231,44,0.10535227272727274,0.0,0.2479999999999999,0.0898051282051282
deepseek,A_D,5,Shower,60,0.028208333333333325,0.24218120379879032,0.5833333333333334,0.5833333333333334,25,0.0677,0.0,0.591,0.08522499999999998
deepseek,A_E,1,Overall,195,0.030792307692307692,0.28540619136970763,0.5743589743589743,0.5743589743589743,83,0.07234337349397592,0.0,0.21899999999999997,0.06951794871794871
deepseek,A_E,1,HVAC,70,0.03567142857142858,0.4481679998331227,0.35714285714285715,0.35714285714285715,45,0.05548888888888891,0.0,0.20899999999999996,0.037216666666666676
deepseek,A_E,1,Appliance,65,0.025961538461538463,0.17130481959263083,0.7846153846153846,0.7846153846153846,14,0.12053571428571429,0.0,0.21899999999999997,0.0898051282051282
deepseek,A_E,1,Shower,60,0.030333333333333323,0.21912723425422317,0.6,0.6,24,0.07583333333333331,0.0,0.21249999999999997,0.08522499999999998
deepseek,A_E,2,Overall,195,0.030169230769230775,0.2818225478746886,0.5641025641025641,0.5641025641025641,85,0.06921176470588236,0.0,0.22450000000000003,0.06951794871794871
deepseek,A_E,2,HVAC,70,0.03790000000000001,0.4693294352591318,0.3,0.3,49,0.05414285714285715,0.0,0.20699999999999985,0.037216666666666676
