model,baseline,scope,metric,n_scenarios,mean_gain_ah_minus_baseline,ci95_lo,ci95_hi
gptoss,LU,Overall,kendall_tau,194,-0.02056128293241694,-0.0501718213058419,0.008479381443298944
gptoss,LU,Overall,top1,194,-0.02396907216494845,-0.04948453608247422,-0.0010309278350515427
gptoss,LU,HVAC,kendall_tau,69,-0.02495974235104669,-0.06763285024154589,0.015297906602254439
gptoss,LU,HVAC,top1,69,-0.03260869565217391,-0.08333333333333333,0.007246376811594203
gptoss,LU,Appliance,kendall_tau,65,0.008205128205128219,-0.04307692307692306,0.059487179487179506
gptoss,LU,Appliance,top1,65,-0.012307692307692308,-0.036923076923076927,0.0
gptoss,LU,Shower,kendall_tau,60,-0.04666666666666665,-0.10888888888888885,0.01111111111111113
gptoss,LU,Shower,top1,60,-0.02666666666666666,-0.07999999999999999,0.023333333333333338
gptoss,FD+time,Overall,kendall_tau,194,0.003493699885452479,-0.03585337915234821,0.04243986254295534
gptoss,FD+time,Overall,top1,194,-0.01881443298969072,-0.05335051546391753,0.01520618556701031
gptoss,FD+time,HVAC,kendall_tau,69,0.013687600644122395,-0.03945249597423508,0.0684581320450883
gptoss,FD+time,HVAC,top1,69,-0.018115942028985508,-0.06884057971014493,0.028985507246376812
gptoss,FD+time,Appliance,kendall_tau,65,0.008205128205128219,-0.04102564102564102,0.0594871794871795
gptoss,FD+time,Appliance,top1,65,-0.012307692307692308,-0.036923076923076927,0.0
gptoss,FD+time,Shower,kendall_tau,60,-0.013333333333333308,-0.1111111111111111,0.08666666666666668
gptoss,FD+time,Shower,top1,60,-0.02666666666666667,-0.11666666666666668,0.06666666666666668
gptoss,LU-corpus,Overall,kendall_tau,194,-0.034306987399770894,-0.07079180985108818,0.0010309278350515518
gptoss,LU-corpus,Overall,top1,194,-0.034278350515463914,-0.06237113402061856,-0.006958762886597943
gptoss,LU-corpus,HVAC,kendall_tau,69,-0.015297906602254418,-0.036231884057971,6.436075505073371e-18
