scenario_id,gpm,cost_per_min_spread,gal_per_min_spread,cost_per_min,gal_per_min
136,1.5,1.3877787807814457e-17,0.0,0.04537788623273359,1.5
137,1.5,6.938893903907228e-18,0.0,0.030251924155155718,1.5
138,1.5,6.938893903907228e-18,0.0,0.04537788623273358,1.5
139,2.5,0.0,0.0,0.05041987359192619,2.5
140,1.5,6.938893903907228e-18,0.0,0.030251924155155725,1.5
141,2.5,0.0,0.0,0.0756298103878893,2.5
142,1.5,6.938893903907228e-18,0.0,0.04537788623273358,1.5
143,1.5,6.938893903907228e-18,0.0,0.04537788623273359,1.5
144,2.5,6.938893903907228e-18,0.0,0.05041987359192619,2.5
145,3.5,1.3877787807814457e-17,0.0,0.10588173454304499,3.5
146,3.5,0.0,0.0,0.07058782302869668,3.5
147,2.5,1.3877787807814457e-17,0.0,0.0756298103878893,2.5
148,2.5,0.0,0.0,0.0504198735919262,2.5
149,3.5,1.3877787807814457e-17,0.0,0.10588173454304502,3.5
150,3.5,0.0,0.0,0.07058782302869668,3.5
151,4.0,2.7755575615628914e-17,0.0,0.12100769662062287,4.0
152,2.0,6.938893903907228e-18,0.0,0.040335898873540964,2.0
153,4.0,0.0,0.0,0.08067179774708191,4.0
154,2.0,6.938893903907228e-18,0.0,0.060503848310311435,2.0
155,2.5,6.938893903907228e-18,0.0,0.050419873591926206,2.5
156,3.0,2.7755575615628914e-17,0.0,0.09075577246546716,3.0
157,2.0,6.938893903907228e-18,0.0,0.040335898873540964,2.0
158,3.5,0.0,0.0,0.10588173454304502,3.5
159,3.5,1.3877787807814457e-17,0.0,0.0746917662280395,3.5
160,4.0,2.7755575615628914e-17,0.0,0.09943268094407773,4.0
161,2.0,6.938893903907228e-18,0.0,0.048309274232264166,2.0
162,2.5,6.938893903907228e-18,0.0,0.05628264959098738,2.5
163,2.0,6.938893903907228e-18,0.0,0.05206145087166333,2.0
164,2.5,1.3877787807814457e-17,0.0,0.07093958958864034,2.5
165,2.0,0.0,0.0,0.041742965113315635,2.0
166,2.0,0.0,0.0,0.051123406711813535,2.0
167,2.5,1.3877787807814457e-17,0.0,0.06800820158910974,2.5
168,2.0,6.938893903907228e-18,0.0,0.04737123007241438,2.0
169,2.5,1.3877787807814457e-17,0.0,0.06214542559004858,2.5
170,2.5,1.3877787807814457e-17,0.0,0.06624936878939139,2.5
171,2.5,1.3877787807814457e-17,0.0,0.06214542559004856,2.5
172,3.0,1.3877787807814457e-17,0.0,0.078092176307495,3.0
173,2.5,6.938893903907228e-18,0.0,0.05921403759051797,2.5
174,2.0,2.0816681711721685e-17,0.0,0.049716340472038864,2.0
175,2.5,0.0,0.0,0.06038659279033021,2.5
176,2.5,1.3877787807814457e-17,0.0,0.07562981038788928,2.5
177,2.0,6.938893903907228e-18,0.0,0.06050384831031145,2.0
178,2.5,1.3877787807814457e-17,0.0,0.07562981038788928,2.5
179,2.5,6.938893903907228e-18,0.0,0.05041987359192619,2.5
180,3.0,0.0,0.0,0.08372044126659374,3.0
181,4.0,2.7755575615628914e-17,0.0,0.11537943166152413,4.0
182,2.0,6.938893903907228e-18,0.0,0.049716340472038864,2.0
183,2.5,6.938893903907228e-18,0.0,0.05804148239070574,2.5
184,2.0,6.938893903907228e-18,0.0,0.05206145087166333,2.0
185,2.5,0.0,0.0,0.06038659279033021,2.5
186,2.5,1.3877787807814457e-17,0.0,0.06214542559004857,2.5
187,2.5,0.0,0.0,0.06038659279033021,2.5
188,2.0,6.938893903907228e-18,0.0,0.06050384831031145,2.0
189,2.0,1.3877787807814457e-17,0.0,0.04502611967278989,2.0
190,2.5,6.938893903907228e-18,0.0,0.0504198735919262,2.5
191,2.5,6.938893903907228e-18,0.0,0.05217870639164454,2.5
192,2.0,6.938893903907228e-18,0.0,0.048309274232264166,2.0
193,1.5,6.938893903907228e-18,0.0,0.04432258655290257,1.5
194,2.0,6.938893903907228e-18,0.0,0.054406561271287804,2.0
195,2.0,0.0,0.0,0.05581362751106248,2.0
