criterion,subjective_weight,entropy_weight_overall,entropy_weight_hvac,entropy_weight_appliance,entropy_weight_shower,abs_diff_overall,abs_diff_hvac,abs_diff_appliance,abs_diff_shower
energy_cost,0.3,0.25088275458894516,0.3985419194481224,0.035134922750856834,0.20507521964896777,0.04911724541105483,0.0985419194481224,0.26486507724914315,0.09492478035103222
environmental,0.35,0.2496671812292559,0.398585746687916,0.045757753334043534,0.09330746256716124,0.10033281877074407,0.04858574668791604,0.30424224666595645,0.2566925374328387
comfort,0.2,0.2868380348373756,0.17327609393444762,0.5198230144290863,0.1454486602380652,0.08683803483737557,0.02672390606555239,0.3198230144290863,0.0545513397619348
practicality,0.15,0.2126120293444234,0.029596239929513945,0.39928430948601334,0.5561686575458058,0.06261202934442339,0.12040376007048605,0.24928430948601335,0.4061686575458058
