model,architecture,run,decision_type,scenario_id,kendall_tau,overall_mae,top1_accuracy,top2_accuracy
gptoss,Direct_LLM_Scoring,1,HVAC,62,0.33333333333333337,0.11333333333333333,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,63,1.0,0.54,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,64,0.33333333333333337,0.18583333333333338,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,65,0.33333333333333337,0.315,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,66,1.0,0.15083333333333332,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,67,0.33333333333333337,0.26499999999999996,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,68,-0.33333333333333337,0.2625,0.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,69,0.33333333333333337,0.09000000000000001,1.0,1.0
gptoss,Direct_LLM_Scoring,1,HVAC,70,0.33333333333333337,0.16916666666666666,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,71,-1.0,0.2916666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,72,-0.33333333333333337,0.3325,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,73,0.33333333333333337,0.15500000000000003,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,74,-0.33333333333333337,0.33,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,75,-0.33333333333333337,0.305,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,76,1.0,0.26666666666666666,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,77,0.33333333333333337,0.1975,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,78,-1.0,0.2983333333333334,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,79,-1.0,0.2841666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,80,-1.0,0.37666666666666665,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,81,-1.0,0.2866666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,82,-0.33333333333333337,0.32999999999999996,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,83,1.0,0.31666666666666665,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,84,-0.33333333333333337,0.3941666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,85,-1.0,0.17,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,86,0.33333333333333337,0.2816666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,87,-0.33333333333333337,0.15500000000000003,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,88,-0.33333333333333337,0.45333333333333337,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,89,0.33333333333333337,0.41583333333333333,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,90,-0.33333333333333337,0.3475000000000001,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,91,-1.0,0.33,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,92,-0.33333333333333337,0.42416666666666675,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,93,-0.33333333333333337,0.35250000000000004,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,94,-1.0,0.29,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,95,1.0,0.16833333333333333,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,96,-0.33333333333333337,0.41083333333333333,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,97,1.0,0.2716666666666666,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,98,0.33333333333333337,0.3208333333333333,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,99,0.33333333333333337,0.10333333333333332,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,100,-1.0,0.3,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,101,-1.0,0.3875,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,102,-0.33333333333333337,0.3491666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,103,-0.33333333333333337,0.1533333333333333,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,104,-1.0,0.2583333333333333,0.0,0.0
